測試次數,期間,訊號,樣本數,Y1(報酬率),Y2(波動率),Y3(夏普)
第 1 次,2015-2019,X1,300788,-0.524400,0.614198,-0.8538
第 1 次,2015-2019,X2,152406,-0.337404,0.546210,-0.6177
第 1 次,2015-2019,X3,44734,-0.444126,0.557094,-0.7972
第 1 次,2020-2026,X1,587412,-0.445686,0.570760,-0.7809
第 1 次,2020-2026,X2,288332,-0.303862,0.511003,-0.5946
第 1 次,2020-2026,X3,92660,-0.371983,0.511113,-0.7278
第 2 次,2015-2019,X1,300995,-0.526617,0.615463,-0.8556
第 2 次,2015-2019,X2,153375,-0.334974,0.545879,-0.6136
第 2 次,2015-2019,X3,45303,-0.442397,0.557628,-0.7934
第 2 次,2020-2026,X1,586986,-0.444278,0.569436,-0.7802
第 2 次,2020-2026,X2,288497,-0.307494,0.513227,-0.5991
第 2 次,2020-2026,X3,92680,-0.372606,0.514248,-0.7246
第 3 次,2015-2019,X1,301382,-0.525510,0.613605,-0.8564
第 3 次,2015-2019,X2,152428,-0.337389,0.546586,-0.6173
第 3 次,2015-2019,X3,44724,-0.442522,0.555085,-0.7972
第 3 次,2020-2026,X1,587938,-0.444204,0.569724,-0.7797
第 3 次,2020-2026,X2,287920,-0.307075,0.513220,-0.5983
第 3 次,2020-2026,X3,91803,-0.368650,0.510811,-0.7217
第 4 次,2015-2019,X1,300270,-0.525730,0.614730,-0.8552
第 4 次,2015-2019,X2,152634,-0.335997,0.547091,-0.6142
第 4 次,2015-2019,X3,45014,-0.446048,0.557475,-0.8001
第 4 次,2020-2026,X1,587971,-0.444244,0.569503,-0.7801
第 4 次,2020-2026,X2,289096,-0.306348,0.512977,-0.5972
第 4 次,2020-2026,X3,92604,-0.368901,0.510335,-0.7229
第 5 次,2015-2019,X1,299993,-0.525474,0.614787,-0.8547
第 5 次,2015-2019,X2,152895,-0.335546,0.546757,-0.6137
第 5 次,2015-2019,X3,45308,-0.440684,0.558759,-0.7887
第 5 次,2020-2026,X1,587401,-0.444852,0.570342,-0.7800
第 5 次,2020-2026,X2,288079,-0.306937,0.512332,-0.5991
第 5 次,2020-2026,X3,93185,-0.372061,0.510668,-0.7286
第 6 次,2015-2019,X1,299957,-0.525382,0.613890,-0.8558
第 6 次,2015-2019,X2,152570,-0.339370,0.548915,-0.6183
第 6 次,2015-2019,X3,44983,-0.439316,0.557123,-0.7885
第 6 次,2020-2026,X1,588067,-0.444365,0.569642,-0.7801
第 6 次,2020-2026,X2,288029,-0.304769,0.510148,-0.5974
第 6 次,2020-2026,X3,92274,-0.370315,0.513058,-0.7218
第 7 次,2015-2019,X1,300839,-0.526733,0.614872,-0.8567
第 7 次,2015-2019,X2,152635,-0.334101,0.545881,-0.6120
第 7 次,2015-2019,X3,44900,-0.441220,0.554704,-0.7954
第 7 次,2020-2026,X1,587720,-0.445155,0.569713,-0.7814
第 7 次,2020-2026,X2,287796,-0.306867,0.510563,-0.6010
第 7 次,2020-2026,X3,92388,-0.372290,0.511379,-0.7280
第 8 次,2015-2019,X1,300260,-0.524924,0.612069,-0.8576
第 8 次,2015-2019,X2,152765,-0.336047,0.545764,-0.6157
第 8 次,2015-2019,X3,45263,-0.445527,0.557712,-0.7988
第 8 次,2020-2026,X1,586799,-0.444804,0.570495,-0.7797
第 8 次,2020-2026,X2,288319,-0.305626,0.510821,-0.5983
第 8 次,2020-2026,X3,92513,-0.370539,0.511611,-0.7243
第 9 次,2015-2019,X1,300492,-0.524093,0.612683,-0.8554
第 9 次,2015-2019,X2,152891,-0.333768,0.542804,-0.6149
第 9 次,2015-2019,X3,45219,-0.438348,0.553807,-0.7915
第 9 次,2020-2026,X1,587866,-0.444997,0.569329,-0.7816
第 9 次,2020-2026,X2,288120,-0.306437,0.511849,-0.5987
第 9 次,2020-2026,X3,92555,-0.370917,0.512777,-0.7234
第 10 次,2015-2019,X1,300552,-0.524773,0.613855,-0.8549
第 10 次,2015-2019,X2,153425,-0.335554,0.546042,-0.6145
第 10 次,2015-2019,X3,45151,-0.443627,0.557097,-0.7963
第 10 次,2020-2026,X1,586476,-0.444181,0.569582,-0.7798
第 10 次,2020-2026,X2,288574,-0.305637,0.511094,-0.5980
第 10 次,2020-2026,X3,92728,-0.371324,0.515108,-0.7209
第 11 次,2015-2019,X1,300894,-0.524941,0.614568,-0.8542
